student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S04383,22,Male,6.6,2.9,2.1,No,74.0,6.9,Good,4,High School,Good,9,Yes,100.0
S04961,19,Female,4.8,0.5,3.2,Yes,100.0,7.7,Good,5,High School,Good,5,Yes,89.1
S11697,18,Female,2.3,3.1,1.8,No,91.2,4.1,Fair,5,Master,Good,1,No,45.0
S08004,17,Female,5.0,3.2,2.6,No,85.5,6.3,Good,1,Bachelor,Good,1,Yes,73.4
S15915,24,Male,1.9,0.8,1.8,No,92.1,6.5,Fair,2,High School,Average,7,No,59.8
S17501,22,Female,3.2,1.5,2.3,No,74.2,7.8,Fair,6,High School,Poor,3,Yes,67.3
S03627,18,Male,5.0,2.2,0.8,No,91.1,6.9,Poor,2,,Average,4,No,74.1
S05430,21,Male,1.8,2.2,1.9,Yes,83.9,7.6,Good,4,High School,Good,5,No,45.5
S72992,17,Male,0.0,7.2,5.4,Yes,56.0,3.2,Poor,0,High School,Poor,1,No,97.4
S04183,21,Female,2.6,1.5,2.0,No,91.9,7.8,Fair,5,Bachelor,Good,3,No,64.6
S17622,21,Female,4.7,4.9,2.1,No,84.9,5.0,Fair,1,Master,Average,3,Yes,71.4
S08187,22,Male,6.1,2.2,1.3,Yes,92.8,6.4,Fair,4,High School,Good,5,No,94.8
S52924,19,Female,2.2,6.8,4.7,Yes,60.0,8.0,Good,0,Bachelor,Good,1,No,-999
S69778,-99,Male,0.4,3.6,,No,,8.9,Good,6,Bachelor,Good,10,,42.0
S14960,24,Male,3.7,0.8,1.8,Yes,96.2,5.6,Fair,3,,Poor,1,Yes,67.8
S16806,19,Female,3.6,2.0,0.3,No,68.5,6.1,Good,1,Bachelor,Good,6,No,66.8
S10520,24,Male,3.7,1.3,0.8,Yes,89.9,5.9,Poor,4,High School,Good,4,Yes,59.6
S14931,21,Female,4.5,2.5,3.6,Yes,78.9,5.5,Poor,1,Master,Good,10,No,76.8
S14907,24,Female,1.1,3.4,2.8,No,85.5,7.3,Poor,3,Master,Poor,2,No,39.2
S04341,23,Female,2.6,1.3,2.7,Yes,92.3,6.5,Fair,2,High School,Average,1,No,42.2
S09619,22,Female,2.1,0.0,3.4,Yes,74.2,5.3,Good,2,High School,Poor,6,No,63.8
S00857,24,Female,7.3,1.4,0.5,No,77.3,6.4,Fair,0,High School,Average,5,No,100.0
S10931,21,Female,5.0,4.1,2.5,Yes,84.5,6.5,Good,3,High School,Good,9,No,95.0
S01639,21,Male,4.1,0.0,0.0,Yes,91.1,5.8,Poor,1,Bachelor,Good,9,Yes,86.9
S12299,22,Female,4.6,3.0,0.0,Yes,77.5,6.5,Good,2,High School,Good,6,No,82.8
S03441,19,Male,4.8,2.9,0.9,Yes,94.6,5.4,Fair,4,High School,Good,9,No,91.7
S13961,17,Male,3.8,2.1,1.8,No,72.3,6.3,Good,3,High School,Average,8,Yes,76.4
,unknown,male,999,4.2,-5,1,999,48,,daily,PHD,wifi,,y,999
S19024,19,Female,1.0,4.3,1.9,Yes,72.1,6.0,Fair,5,Bachelor,Good,5,Yes,40.7
S10445,22,Female,5.7,2.8,1.3,No,75.6,6.0,Fair,3,High School,Good,2,Yes,92.0
S03830,21,Female,7.0,4.4,1.9,Yes,100.0,7.2,Good,2,,Poor,8,Yes,100.0
S06802,19,Male,5.0,1.2,2.2,No,89.7,8.5,Fair,2,High School,Average,6,No,100.0
S09725,21,Female,2.8,2.3,1.0,Yes,69.3,6.7,Poor,0,Bachelor,Poor,1,No,51.1
S12740,23,Female,4.5,1.3,0.0,No,88.1,7.1,Good,6,Bachelor,Average,5,No,100.0
S06627,22,Male,5.1,3.2,0.0,No,81.2,7.7,Fair,0,High School,Good,4,No,79.7
S15332,19,Female,2.8,3.7,2.5,No,89.9,5.6,Good,6,High School,Good,6,No,54.0
S00627,19,Female,2.5,2.3,3.6,No,90.8,6.5,Good,3,Bachelor,Good,6,No,50.8
S06939,20,Female,3.1,1.4,3.4,No,69.9,4.8,Fair,0,Bachelor,Good,4,No,56.4
S05509,20,Female,4.6,2.3,1.7,No,84.2,6.6,Poor,6,Master,Poor,4,No,94.0
S16068,20,Male,1.1,1.5,0.0,No,85.5,6.8,Good,3,High School,Average,4,Yes,52.3
S03865,23,Male,3.6,4.6,4.7,No,80.4,5.5,Fair,5,High School,Good,7,Yes,71.0
S18174,18,Female,3.6,2.0,3.8,No,73.2,6.8,Fair,1,Bachelor,Average,1,Yes,55.4
S02980,18,Female,3.3,3.5,2.1,Yes,91.8,7.7,Good,4,,Average,7,Yes,68.8
S15084,19,Female,4.6,1.7,0.1,No,100.0,7.3,Fair,1,High School,Good,1,No,70.8
S02634,24,Male,3.7,4.1,3.8,Yes,80.9,7.0,Poor,3,Master,Good,3,Yes,58.1
S15537,18,Female,5.4,2.3,2.4,Yes,66.6,7.2,Fair,3,Bachelor,Good,1,No,71.7
S07191,19,Female,4.9,2.9,0.2,Yes,74.7,6.4,Fair,0,Bachelor,Good,2,Yes,72.3
S00864,24,Other,3.0,2.8,0.6,No,80.8,5.4,Fair,1,High School,Good,1,No,55.6
S12775,21,Male,3.7,2.6,1.3,No,86.6,7.2,Fair,4,Bachelor,Good,3,No,73.6
??,0,1,#REF!,0.9,error,maybe,full,-1,great,-3,PHD,5G,-5,1,999
S03344,24,Female,4.1,0.3,0.5,No,87.9,5.6,Fair,1,High School,Poor,9,No,89.5
S14903,22,Other,3.1,3.5,0.1,Yes,83.5,3.8,Good,4,High School,Good,3,No,70.6
S04702,23,Female,3.0,2.2,1.2,No,83.0,6.5,Fair,3,High School,Good,2,No,55.1
S03882,24,Female,4.8,3.2,1.9,No,95.1,7.9,Fair,3,Bachelor,Good,10,No,89.7
S15127,22,Male,1.5,3.8,0.9,No,73.9,6.7,Fair,2,Bachelor,Average,8,Yes,58.5
S15977,22,Male,3.9,2.7,2.9,No,91.3,6.6,Good,5,Master,Good,10,Yes,84.7
S01496,24,Female,3.6,2.6,0.5,No,74.9,5.4,Good,3,High School,Average,6,No,68.3
S08369,20,Male,2.0,2.0,3.8,Yes,87.9,7.8,Fair,2,High School,Good,5,No,57.8
S01896,19,Male,2.3,1.9,0.0,No,100.0,7.2,Good,2,Master,Poor,2,No,47.9
S18180,19,Male,2.0,1.5,1.3,No,76.5,7.3,Fair,2,Master,Poor,8,No,61.5
S07821,20,Female,7.5,2.5,2.5,No,83.0,6.8,Fair,3,Master,Good,4,No,100.0
S12762,23,Other,2.8,1.8,3.1,No,92.3,7.3,Fair,2,Master,Good,6,Yes,60.5
S02654,18,Female,2.2,1.3,0.6,No,83.8,5.0,Good,2,Bachelor,Good,8,No,63.6
S05164,19,Male,3.5,1.2,0.8,Yes,88.7,7.7,Poor,4,High School,Average,7,No,70.6
S53635,19,Female,-2.8,-9.4,-8.8,Yes,73.0,-1.0,Good,3,Master,Good,10,Yes,43.9
S15144,20,Male,1.9,3.1,0.0,No,79.2,5.0,Poor,0,High School,Average,1,No,41.2
S12348,23,Male,5.5,2.1,3.2,No,79.7,4.8,Fair,6,Master,Average,5,No,92.3
S08879,20,Female,1.5,0.0,2.6,No,89.4,5.2,Fair,4,High School,Good,2,Yes,43.2
S00213,23,Male,2.1,1.7,2.4,Yes,85.3,6.9,Fair,4,High School,Good,7,Yes,58.0
S18681,17,Female,0.5,2.9,3.3,No,95.7,5.2,Good,0,High School,Good,2,No,38.4
S08971,20,Male,4.9,2.2,1.6,No,90.8,6.2,Good,3,Master,Average,1,Yes,86.4
S08382,22,Male,6.8,0.9,1.3,No,75.8,7.0,Fair,2,High School,Good,4,No,89.5
S17479,19,Male,2.3,2.6,0.9,No,88.1,6.4,Good,2,Bachelor,Good,8,No,61.2
S14815,18,Male,3.9,2.8,3.0,No,81.4,7.8,Poor,5,Bachelor,Poor,2,Yes,72.8
S02385,18,Male,4.7,2.0,0.4,No,83.8,7.9,Fair,5,Bachelor,Good,4,No,88.4
S19800,18,Male,3.3,3.6,1.4,No,88.3,8.8,Good,1,Master,Average,7,No,69.9
S01388,21,Other,1.6,2.7,2.5,No,82.0,7.0,Fair,1,Bachelor,Good,3,No,45.7
S07782,20,Female,2.5,3.8,3.2,No,66.6,7.8,Fair,3,Bachelor,Average,8,Yes,63.2
S11702,23,Male,6.1,3.7,1.0,No,79.9,5.8,Good,5,Master,Good,8,No,94.4
S05347,17,Male,4.7,3.8,1.1,Yes,75.8,7.0,Good,3,,Good,10,Yes,93.8
S11844,19,Male,3.2,1.0,1.9,No,87.6,6.0,Good,4,,Poor,10,No,82.0
S09889,18,Other,5.0,3.6,0.0,No,68.7,6.3,Fair,1,,Good,10,No,97.5
S12653,19,Male,2.1,3.0,0.4,No,82.3,7.0,Good,2,Master,Good,7,No,54.7
S06770,23,Male,3.8,2.3,1.7,No,79.5,5.7,Fair,3,Master,Poor,2,No,68.3
S11069,18,Female,2.4,3.8,1.3,No,94.8,7.4,Fair,3,High School,Average,6,No,54.5
INVALID,0,,999,6.7,error,maybe,full,-1,great,daily,none,wifi,fine,,200
S03481,22,Other,3.5,3.9,0.0,No,71.6,6.7,Fair,4,High School,Good,9,Yes,73.5
S02304,23,Female,3.7,2.6,1.9,No,78.1,6.3,Good,3,Master,Good,5,No,69.2
S17927,22,Female,3.1,1.8,0.5,No,100.0,7.4,Fair,2,Bachelor,Good,9,Yes,67.8
S03640,22,Female,2.6,3.2,0.9,Yes,85.6,8.6,Good,1,High School,Good,8,Yes,63.6
S06975,20,Male,4.9,3.6,1.7,No,81.8,8.0,Fair,2,Bachelor,Average,6,No,86.6
S14669,22,Male,3.8,1.5,3.2,No,92.3,4.9,Fair,4,,Good,10,No,75.4
S13788,21,Female,0.3,2.3,5.0,No,91.2,6.0,Fair,5,Bachelor,Average,10,Yes,47.0
S15832,22,Male,5.8,2.5,0.0,No,98.1,6.6,Good,1,High School,Good,6,No,100.0
S06840,17,Male,2.9,1.5,0.0,Yes,89.8,6.2,Good,2,Bachelor,Good,6,Yes,78.5
S12241,21,Male,3.5,3.6,2.2,Yes,81.7,7.6,Fair,0,Bachelor,Good,5,Yes,56.2
S07507,21,Female,2.4,4.0,3.4,No,71.2,8.4,Poor,0,Bachelor,Good,7,No,58.9
S05100,18,Male,3.0,2.9,1.8,No,95.0,6.8,Fair,2,Bachelor,Average,10,No,72.5
S08791,20,Male,1.7,3.7,0.9,No,83.9,4.4,Good,0,,Average,3,No,35.5
S09909,19,Female,2.1,3.8,0.0,No,82.0,7.3,Fair,3,High School,Average,8,Yes,67.7
S16155,18,Male,3.7,3.4,0.0,No,64.9,6.3,Fair,4,Bachelor,Poor,6,Yes,69.0
S09345,18,Female,4.1,3.1,2.1,No,83.9,7.5,Good,1,Master,Average,6,No,73.9
S05790,24,Female,5.2,3.2,1.6,No,79.5,7.4,Good,4,High School,Poor,3,No,76.7
S02766,24,Female,5.9,3.3,2.5,No,80.2,6.4,Good,4,High School,Poor,6,No,93.6
S05446,22,Male,1.5,0.4,1.5,No,86.1,5.1,Fair,4,Bachelor,Poor,6,No,65.7
S12219,21,Male,4.8,3.3,0.4,No,70.3,5.0,Good,2,High School,Average,7,No,70.8
S04271,18,Female,3.0,1.2,3.5,No,78.3,7.4,Fair,5,High School,Average,5,No,68.3
S09546,20,Female,0.7,1.3,0.0,No,76.2,5.9,Good,1,High School,Good,10,No,45.8
S04552,20,Male,7.2,0.0,0.3,No,73.7,8.5,Fair,2,High School,Good,6,No,100.0
S06735,18,Male,5.8,2.5,2.5,No,88.0,4.7,Fair,0,High School,Good,9,No,75.8
S05522,19,Female,3.8,0.5,3.1,No,88.5,7.5,Good,1,Bachelor,Good,6,No,79.8
S14615,19,Male,1.5,6.1,2.8,No,89.8,4.7,Fair,5,Bachelor,Good,9,No,35.1
S08559,20,Female,1.0,1.0,2.5,Yes,79.1,7.3,Fair,0,Bachelor,Poor,8,Yes,47.9
S04155,17,Male,6.4,2.2,0.8,No,81.8,7.1,Good,5,,Good,5,No,100.0
S11032,23,Male,5.3,2.0,3.3,No,58.6,7.0,Fair,3,Bachelor,Good,1,Yes,74.0
S04172,17,Male,1.7,2.9,1.5,No,97.1,6.7,Good,3,High School,Average,3,No,56.2
S14280,22,Male,3.5,3.1,0.6,No,74.9,6.0,Good,6,High School,Poor,4,No,69.1
S15749,21,Male,4.1,1.8,1.8,No,83.7,5.7,Fair,0,High School,Good,3,No,58.4
S09831,20,Male,5.5,2.0,1.0,No,91.6,5.8,Good,3,Master,Good,2,No,84.8
S02313,24,Male,4.8,2.7,3.0,No,83.6,6.4,Good,1,High School,Good,1,Yes,64.3
S17960,19,Male,6.9,0.5,1.4,No,83.5,5.5,Fair,0,Master,Average,8,Yes,100.0
S03998,21,Male,2.8,4.6,2.7,No,80.4,9.3,Good,1,Bachelor,Average,3,No,51.7
S97557,20,Male,,4.5,2.2,Yes,91.5,7.8,,2,High School,Good,,No,
S03562,18,Female,1.8,2.7,3.8,No,97.3,4.3,Fair,0,High School,Average,3,No,36.5
S08304,17,Male,2.1,3.1,3.3,Yes,77.9,5.6,Poor,4,High School,Average,6,No,33.5
S06901,22,Female,4.4,0.2,1.7,No,85.3,5.6,Fair,3,High School,Good,4,No,84.0
S10163,21,Female,3.0,2.7,3.2,Yes,80.4,6.7,Fair,4,High School,Poor,8,No,63.4
S03084,22,Male,3.9,1.6,3.1,Yes,70.1,7.0,Good,1,,Good,3,Yes,57.6
S10943,20,Male,6.5,3.7,1.4,No,72.2,6.9,Good,3,High School,Good,7,Yes,100.0
S17040,24,Female,1.6,4.1,1.4,Yes,75.2,4.4,Good,5,High School,Good,5,No,34.8
S17354,21,Male,3.6,2.4,1.5,No,91.4,6.2,Poor,3,Master,Poor,1,No,65.8
S15752,23,Female,7.1,4.0,0.0,No,92.8,9.8,Fair,5,High School,Average,3,No,100.0
S11851,19,Female,2.7,1.8,0.4,Yes,73.4,5.2,Fair,2,Bachelor,Average,10,Yes,73.5
S10869,22,Male,1.8,1.4,2.4,No,88.9,6.9,Poor,1,Bachelor,Poor,10,No,61.4
S17126,22,Female,4.4,3.1,1.1,No,90.9,6.2,Fair,5,High School,Good,1,No,70.1
S09183,23,Female,5.9,3.0,0.4,No,85.5,8.1,Fair,2,High School,Good,3,Yes,100.0
S08608,17,Male,3.8,3.3,0.3,No,74.7,8.4,Fair,1,Bachelor,Average,4,No,72.1
S11917,20,Male,3.3,2.6,0.9,No,77.7,8.2,Fair,3,High School,Good,7,Yes,76.1
S17629,23,Male,3.1,2.9,0.0,No,76.7,6.1,Good,4,Bachelor,Average,9,No,77.8
S14067,22,Male,3.5,1.9,1.6,No,74.4,8.6,Fair,3,High School,Poor,7,No,68.6
S05073,21,Female,5.1,4.1,2.3,Yes,82.7,6.8,Fair,5,Bachelor,Good,8,No,89.1
S02948,21,Male,2.9,2.2,1.1,Yes,87.7,9.0,Fair,1,High School,Poor,6,Yes,64.3
S11347,22,Female,2.0,2.9,0.5,Yes,84.1,7.2,Poor,2,Master,Average,5,Yes,57.6
S08888,21,Male,3.7,1.2,3.5,No,72.5,5.5,Good,1,High School,Good,3,Yes,56.4
S17788,23,Female,1.0,2.7,2.1,No,84.6,7.3,Good,0,Bachelor,Good,8,No,46.2
S08980,21,Male,3.7,4.4,2.4,No,92.9,6.9,Good,4,High School,Good,5,No,54.9
S18944,18,Female,4.5,4.8,0.4,Yes,85.8,4.4,Poor,0,High School,Average,4,Yes,64.2
S19177,17,Male,4.0,4.2,2.6,No,90.9,8.5,Fair,2,High School,Poor,5,No,63.7
S14849,22,Female,0.5,2.9,2.6,Yes,72.0,6.6,Fair,0,High School,Good,8,No,43.4
S19632,20,Other,1.8,3.7,0.0,No,90.0,6.9,Good,6,Bachelor,Good,9,Yes,67.0
S07697,22,Female,4.9,2.2,2.5,Yes,98.1,7.2,Good,1,High School,Average,7,No,90.7
S09446,22,Male,4.2,2.2,2.9,No,86.6,7.8,Good,1,,Average,4,No,73.1
S09511,18,Female,2.3,2.0,0.9,No,88.3,7.5,Good,3,,Good,1,No,47.9
S23448,,Female,4.7,3.0,,No,,5.4,,4,High School,Poor,10,No,88.0
S10591,21,Female,3.1,0.8,2.7,No,96.1,6.9,Good,1,Bachelor,Average,10,No,78.0
S38244,,,6.3,1.0,0.3,No,,,,0,High School,,,No,50.9
S14239,23,Female,3.2,3.7,2.5,No,84.1,6.2,Good,4,Bachelor,Average,6,No,59.0
S17365,22,Male,5.6,0.1,3.5,Yes,75.4,5.2,Fair,2,High School,Good,3,Yes,82.4
S13747,21,Male,4.1,1.7,1.6,Yes,71.6,5.6,Fair,5,High School,Good,3,No,81.5
S05185,20,Female,3.0,2.3,2.8,No,83.5,8.1,Poor,2,Bachelor,Good,8,No,62.2
S09868,21,Female,5.9,1.7,0.3,No,79.3,6.7,Poor,2,Bachelor,Good,6,Yes,97.2
S07883,22,Female,3.5,2.0,3.0,Yes,100.0,4.4,Poor,1,Bachelor,Good,9,No,66.1
S16752,24,Male,2.0,0.2,1.2,No,94.3,7.0,Poor,4,Master,Good,8,Yes,67.9
S15693,19,Female,3.7,2.5,3.0,No,97.7,6.1,Poor,4,High School,Average,6,Yes,67.1
S08789,21,Female,2.5,2.1,2.7,No,90.6,4.4,Poor,6,High School,Average,8,No,60.3
S02931,22,Female,5.2,2.1,2.8,No,83.9,9.0,Fair,3,Bachelor,Good,4,No,81.8
S78683,,,,,,,,,,,,,,,
S17281,24,Other,1.2,2.9,0.1,No,88.9,7.0,Good,4,High School,Average,7,Yes,48.3
S12167,23,Male,6.4,4.5,0.5,No,84.9,6.3,Fair,3,High School,Good,6,Yes,91.2
S17015,21,Male,1.2,2.8,1.9,No,91.4,6.8,Poor,2,,Average,6,Yes,47.4
S16664,24,Male,4.6,4.2,0.6,No,98.5,5.7,Fair,0,,Average,3,No,67.3
S06815,24,Female,3.4,3.5,0.5,Yes,87.9,6.9,Poor,0,Bachelor,Average,4,Yes,58.4
S08356,19,Female,2.7,2.5,2.0,Yes,90.0,4.6,Good,3,Bachelor,Good,8,Yes,69.7
S15356,19,Male,5.6,1.5,2.4,Yes,82.3,5.7,Poor,2,High School,Good,3,No,90.1
S11185,23,Other,5.9,2.2,3.4,No,90.7,7.0,Good,0,Bachelor,Poor,7,Yes,80.6
S15927,23,Male,4.6,2.0,1.3,Yes,83.1,5.1,Fair,2,Bachelor,Average,8,Yes,84.3
S00938,21,Male,2.8,5.0,0.0,No,83.2,8.7,Fair,3,Master,Average,8,No,67.7
S08727,18,Female,1.8,0.9,0.5,No,86.6,5.6,Good,3,,Good,9,No,75.8
S07743,17,Female,3.8,4.6,3.9,Yes,77.0,10.0,Fair,3,Bachelor,Good,7,Yes,73.4
S05072,20,Female,1.8,4.0,0.3,No,84.4,6.0,Good,2,Bachelor,Good,5,Yes,40.4
S05923,23,Male,3.0,3.7,0.0,No,82.8,6.1,Fair,3,Master,Good,4,Yes,72.9
S11489,22,Male,3.9,3.5,2.2,No,89.3,6.3,Fair,4,High School,Good,7,Yes,64.5
S12438,22,Other,0.8,0.0,3.1,Yes,89.3,8.4,Poor,3,High School,Good,8,Yes,51.5
S97355,9999-01-01,Male,#REF!, ,#VALUE!,No,none,,Good,unknown,High School,Average,error,No,TBD
S15496,21,Female,0.4,0.7,0.3,No,79.5,6.1,Poor,4,High School,Average,6,Yes,51.0
S15289,24,Female,2.6,2.1,2.7,No,80.9,7.8,Fair,2,Bachelor,Good,5,No,61.1
S10714,20,Female,1.9,4.0,4.2,No,87.1,5.9,Fair,4,High School,Poor,4,Yes,51.8
S23461,17,Prefer not to say,3.3,0.5,4.3,sometimes,91.0,4.3,,2,10th grade,poor quality,8,n,63.3
